TestType,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,XDim,YDim,Iterations,TotalTime,ComputationTime,CommunicationTime
omp,1,1,1,112,16384,16384,500,6.5935,6.5928,0.0000
omp,1,1,1,84,16384,16384,500,8.5959,8.5953,0.0001
omp,1,1,1,8,16384,16384,500,53.6679,53.6675,0.0000
omp,1,1,1,4,16384,16384,500,69.9655,69.9651,0.0001
omp,1,1,1,2,16384,16384,500,101.0486,101.0481,0.0001
omp,1,1,1,56,16384,16384,500,12.5625,12.5619,0.0000
omp,1,1,1,32,16384,16384,500,21.5817,21.5812,0.0000
omp,1,1,1,16,16384,16384,500,42.8888,42.8883,0.0000
omp,1,1,1,1,16384,16384,500,174.9885,174.9881,0.0000
omp,1,1,1,112,16384,16384,500,6.6040,6.6032,0.0001
omp,1,1,1,84,16384,16384,500,8.5792,8.5787,0.0000
omp,1,1,1,56,16384,16384,500,12.5830,12.5824,0.0000
omp,1,1,1,32,16384,16384,500,21.5508,21.5503,0.0000
omp,1,1,1,16,16384,16384,500,42.7561,42.7556,0.0000
omp,1,1,1,8,16384,16384,500,54.1002,54.0998,0.0000
omp,1,1,1,4,16384,16384,500,66.1782,66.1778,0.0000
omp,1,1,1,2,16384,16384,500,103.6985,103.6981,0.0001
omp,1,1,1,1,16384,16384,500,177.0153,177.0150,0.0000
omp,1,1,1,112,16384,16384,500,6.6210,6.6203,0.0000
omp,1,1,1,84,16384,16384,500,8.5706,8.5699,0.0000
omp,1,1,1,56,16384,16384,500,12.5858,12.5853,0.0000
omp,1,1,1,32,16384,16384,500,21.5906,21.5902,0.0000
omp,1,1,1,16,16384,16384,500,42.8967,42.8963,0.0000
omp,1,1,1,8,16384,16384,500,53.9603,53.9599,0.0000
omp,1,1,1,4,16384,16384,500,67.4680,67.4677,0.0000
omp,1,1,1,2,16384,16384,500,98.8457,98.8453,0.0001
omp,1,1,1,1,16384,16384,500,176.2079,176.2075,0.0000
omp,1,1,1,112,16384,16384,500,6.0819,6.0801,0.0000
omp,1,1,1,84,16384,16384,500,8.0974,8.0957,0.0001
omp,1,1,1,2,16384,16384,500,100.0111,100.0108,0.0000
omp,1,1,1,1,16384,16384,500,177.4500,177.4496,0.0000
omp,1,1,1,16,16384,16384,500,42.6242,42.6238,0.0000
omp,1,1,1,8,16384,16384,500,53.3887,53.3883,0.0001
omp,1,1,1,4,16384,16384,500,66.6037,66.6034,0.0000
omp,1,1,1,32,16384,16384,500,21.3195,21.3190,0.0000
omp,1,1,1,56,16384,16384,500,12.1674,12.1663,0.0001
