TestType,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,XDim,YDim,Iterations,TotalTime,ComputationTime,CommunicationTime
strong,16,128,8,14,16384,16384,500,1.2920,1.2521,0.0323
strong,8,64,8,14,16384,16384,500,2.7591,2.6366,0.1134
strong,4,32,8,14,16384,16384,500,5.4794,5.4371,0.0219
strong,2,16,8,14,16384,16384,500,11.3084,10.9576,0.3273
strong,1,8,8,14,16384,16384,500,22.7486,22.0072,0.6937
strong,16,128,8,14,16384,16384,500,1.3524,1.2512,0.0937
strong,8,64,8,14,16384,16384,500,2.7227,2.6561,0.0578
strong,4,32,8,14,16384,16384,500,5.5583,5.4102,0.1274
strong,1,8,8,14,16384,16384,500,23.1627,21.8119,1.3027
strong,16,128,8,14,16384,16384,500,1.2822,1.2468,0.0278
strong,8,64,8,14,16384,16384,500,2.9520,2.6614,0.2818
strong,4,32,8,14,16384,16384,500,5.5155,5.4233,0.0734
strong,2,16,8,14,16384,16384,500,11.3929,10.9026,0.4667
strong,1,8,8,14,16384,16384,500,22.8365,22.4836,0.3054
