TestType,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,XDim,YDim,Iterations,TotalTime,ComputationTime,CommunicationTime
weak,4,32,8,14,32768,16384,500,11.4891,10.9646,0.5009
weak,2,16,8,14,16384,16384,500,11.6904,10.8366,0.8298
weak,1,8,8,14,16384,8192,500,12.4129,11.2334,1.1562
weak,8,64,8,14,32768,32768,500,11.4591,10.7667,0.6694
weak,16,128,8,14,65536,32768,500,11.9641,10.8848,1.0560
weak,2,16,8,14,16384,16384,500,11.3875,10.9279,0.4359
weak,4,32,8,14,32768,16384,500,11.6665,10.7619,0.8814
weak,1,8,8,14,16384,8192,500,12.4048,11.1081,1.2730
weak,16,128,8,14,65536,32768,500,12.4364,10.9296,1.4837
weak,1,8,8,14,16384,8192,500,11.8977,11.8657,0.0086
weak,8,64,8,14,32768,32768,500,11.4699,11.1429,0.3039
weak,4,32,8,14,32768,16384,500,11.5810,10.9410,0.6163
weak,2,16,8,14,16384,16384,500,12.4109,10.9235,1.4631
